CodigoEstacion,CodigoSensor,FechaObservacion,ValorObservado,NombreEstacion,Departamento,Municipio,ZonaHidrografica,Latitud,Longitud,DescripcionSensor,UnidadMedida,Fecha
0014015020,0068,2019 Jul 17 11:00:00 AM,31.6,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2019-07-17T11:00:00.000-05:00
0014015020,0068,2019 Apr 20 11:00:00 PM,27.5,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2019-04-20T23:00:00.000-05:00
0014015020,0068,2017 May 24 01:00:00 PM,32.0,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2017-05-24T13:00:00.000-05:00
0014015020,0068,2014 Sep 06 01:00:00 AM,28.3,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2014-09-06T01:00:00.000-05:00
0014015020,0068,2015 Mar 13 02:00:00 PM,28.7,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2015-03-13T14:00:00.000-05:00
0014015020,0068,2017 Nov 23 04:00:00 AM,26.5,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2017-11-23T04:00:00.000-05:00
0014015020,0068,2018 Mar 08 02:00:00 AM,25.4,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2018-03-08T02:00:00.000-05:00
0014015020,0068,2014 Nov 19 06:00:00 PM,29.0,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2014-11-19T18:00:00.000-05:00
0014015020,0068,2016 Feb 06 07:00:00 AM,24.9,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2016-02-06T07:00:00.000-05:00
0014015020,0068,2016 Dec 04 10:00:00 PM,27.8,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2016-12-04T22:00:00.000-05:00
0014015020,0068,2016 May 17 05:00:00 PM,31.7,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2016-05-17T17:00:00.000-05:00
0014015020,0068,2017 Jan 28 01:00:00 AM,25.6,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2017-01-28T01:00:00.000-05:00
0014015020,0068,2016 Nov 06 05:00:00 PM,28.7,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2016-11-06T17:00:00.000-05:00
0014015020,0068,2015 Oct 25 07:00:00 AM,27.0,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2015-10-25T07:00:00.000-05:00
0014015020,0068,2015 Jul 01 09:00:00 PM,27.8,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2015-07-01T21:00:00.000-05:00
0014015020,0068,2015 Apr 04 04:00:00 AM,26.3,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2015-04-04T04:00:00.000-05:00
0014015020,0068,2018 Jan 06 08:00:00 PM,27.4,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2018-01-06T20:00:00.000-05:00
0014015020,0068,2018 Aug 15 06:00:00 AM,22.5,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2018-08-15T06:00:00.000-05:00
0014015020,0068,2017 Mar 16 04:00:00 AM,25.1,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2017-03-16T04:00:00.000-05:00
0014015020,0068,2018 Mar 29 10:00:00 PM,25.8,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2018-03-29T22:00:00.000-05:00
0014015020,0068,2014 Oct 31 10:00:00 AM,30.8,APTO RAFAEL NUÑEZ  TX GPRS,BOLÍVAR,CARTAGENA,CARIBE - LITORAL,10.447,-75.516,Temp Aire 2 m,°C,2014-10-31T10:00:00.000-05:00
