,fai,id_imagen,fecha,ndavi,b4,b8,b11,vv-vh
82,,,2018-05-27 23:15:15.000,,,,,4073.9690762688133
83,,,2018-06-02 10:48:40.000,,,,,2689.817652893066
84,,,2018-06-02 23:14:29.000,,,,,3271.028344008502
85,,,2018-06-08 23:15:15.000,,,,,3395.825333359662
86,,,2018-06-14 10:48:41.000,,,,,3106.2010551602234
87,,,2018-06-20 23:15:16.000,,,,,4400.483280226764
88,,,2018-06-26 10:48:41.000,,,,,6347.794402956495
89,,,2018-07-02 23:15:17.000,,,,,3673.676844308891
90,,,2018-07-08 10:48:42.000,,,,,4352.605428329169
91,,,2018-07-14 23:15:17.000,,,,,3056.3607881733014
92,,,2018-07-20 10:48:43.000,,,,,3267.494900123746
93,,,2018-07-26 23:15:18.000,,,,,2347.6051233329026
94,,,2018-08-01 10:48:44.000,,,,,3980.9608616847618
95,,,2018-08-07 23:15:19.000,,,,,2359.378288598154
96,,,2018-08-13 10:48:44.000,,,,,2449.6404915603935
97,,,2018-08-19 23:15:19.000,,,,,1802.1066541484759
98,,,2018-08-25 10:48:45.000,,,,,1793.473124964097
99,,,2018-08-31 23:15:20.000,,,,,3133.6720708510456
100,,,2018-09-06 10:48:46.000,,,,,1939.070254277248
101,,,2018-09-06 23:14:50.000,,,,,1978.3147309845567
102,,,2018-09-12 23:15:21.000,,,,,2922.1450647391525
103,,,2018-09-18 10:48:46.000,,,,,1854.3021211212758
104,,,2018-09-18 23:14:50.000,,,,,2460.629269798129
105,,,2018-09-24 23:15:21.000,,,,,1981.846689381319
106,,,2018-09-30 10:48:46.000,,,,,3764.330218805051
107,,,2018-09-30 23:14:51.000,,,,,2914.6880998499255
108,,,2018-10-06 23:15:21.000,,,,,2967.275829210468
109,,,2018-10-12 10:48:47.000,,,,,2913.903286294376
110,,,2018-10-18 23:15:21.000,,,,,4352.605962476544
111,,,2018-10-24 10:48:47.000,,,,,3836.1486235674693
112,,,2018-10-24 23:14:45.000,,,,,3652.87684469784
113,,,2018-10-30 23:15:21.000,,,,,3169.3847500371003
114,,,2018-11-05 10:48:46.000,,,,,4170.119315712125
115,,,2018-11-05 23:14:51.000,,,,,2570.121365117092
116,,,2018-11-11 23:15:21.000,,,,,5031.535032504213
117,,,2018-11-17 10:48:46.000,,,,,3507.6718881345264
118,,,2018-11-17 23:14:51.000,,,,,3865.188726118499
119,,,2018-11-23 23:15:21.000,,,,,3365.999026369581
120,,,2018-11-29 10:48:46.000,,,,,2631.3422237620634
121,,,2018-11-29 23:14:50.000,,,,,2848.364527204925
122,,,2018-12-05 23:15:20.000,,,,,3935.8285129023534
123,,,2018-12-11 10:48:45.000,,,,,2959.42662449257
124,,,2018-12-11 23:14:50.000,,,,,2455.9199921851064
125,0.0,20181213T153609_20181213T153612_T18PVS,2018-12-13 15:40:09.000,900.6612777709961,0.0,0.0,0.0,
126,,,2018-12-17 23:15:20.000,,,,,4456.210423009536
127,100.07335662841797,20181218T153611_20181218T153751_T18PVS,2018-12-18 15:40:07.000,2001.468162536621,0.0,0.0,0.0,
128,,,2018-12-23 10:48:45.000,,,,,1865.6821552949793
129,200.1467514038086,20181223T153619_20181223T153614_T18PVS,2018-12-23 15:40:12.166,900.6606597900391,0.0,0.0,0.0,
130,,,2018-12-23 23:14:49.000,,,,,2560.702695210775
131,200.1467514038086,20181228T153611_20181228T153753_T18PVS,2018-12-28 15:40:09.641,1000.7340469360352,0.0,0.0,0.0,
132,,,2018-12-29 23:15:20.000,,,,,4988.758052451938
133,400.2936248779297,20190102T153619_20190102T153616_T18PVS,2019-01-02 15:40:14.137,1401.027717590332,0.0,0.0,0.0,
134,,,2019-01-04 10:48:44.000,,,,,2696.488477489995
135,,,2019-01-04 23:14:49.000,,,,,2477.1111929799995
136,0.0,20190107T153611_20190107T153741_T18PVS,2019-01-07 15:40:11.000,1200.8812866210938,0.0,0.0,0.0,
137,,,2019-01-10 23:15:19.000,,,,,4193.27253483791
138,0.0,20190112T153619_20190112T153954_T18PVS,2019-01-12 15:40:15.000,1423.7899064307119,0.0,0.0,0.0,
139,,,2019-01-16 10:48:44.000,,,,,4352.605181944604
140,300.2201461791992,20190117T153621_20190117T153742_T18PVS,2019-01-17 15:40:12.000,1701.2478790283203,0.0,0.0,0.0,
141,400.2936248779297,20190122T153619_20190122T153619_T18PVS,2019-01-22 15:40:16.407,1100.8073959350586,0.0,0.0,0.0,
142,,,2019-01-22 23:15:19.000,,,,,4080.248989718568
143,200.1467514038086,20190127T153621_20190127T153743_T18PVS,2019-01-27 15:40:13.000,800.5872039794922,0.0,0.0,0.0,
144,,,2019-01-28 10:48:44.000,,,,,2422.168872608858
145,,,2019-01-28 23:14:48.000,,,,,2997.885454873478
146,100.07335662841797,20190201T153619_20190201T153619_T18PVS,2019-02-01 15:40:16.000,500.36698150634766,0.0,0.0,0.0,
147,,,2019-02-03 23:15:18.000,,,,,2824.8176706351487
148,400.2935333251953,20190206T153621_20190206T153706_T18PVS,2019-02-06 15:40:13.260,900.6605529785156,0.0,0.0,0.0,
149,,,2019-02-09 10:48:43.000,,,,,4365.162727146522
150,,,2019-02-09 23:14:48.000,,,,,3287.1170899335075
151,200.1467514038086,20190211T153619_20190211T153619_T18PVS,2019-02-11 15:40:16.428,800.587158203125,0.0,0.0,0.0,
152,0.0,20190216T153621_20190216T153615_T18PVS,2019-02-16 15:40:12.000,0.0,0.0,0.0,0.0,
153,,,2019-02-21 10:48:43.000,,,,,3534.3574616675282
154,0.0,20190221T153619_20190221T153618_T18PVS,2019-02-21 15:40:15.000,300.22023010253906,0.0,0.0,0.0,
155,,,2019-02-21 23:14:48.000,,,,,4081.8189552755916
156,300.2201461791992,20190226T153611_20190226T153940_T18PVS,2019-02-26 15:40:11.801,1100.8074951171875,0.0,0.0,0.0,
157,100.07335662841797,20190303T153619_20190303T153700_T18PVS,2019-03-03 15:40:14.000,400.2935333251953,0.0,0.0,0.0,
158,,,2019-03-05 10:48:43.000,,,,,828.451108565985
159,,,2019-03-05 23:14:48.000,,,,,2462.9836587045706
160,0.0,20190308T153611_20190308T153653_T18PVS,2019-03-08 15:40:10.820,0.0,0.0,0.0,0.0,
161,,,2019-03-11 23:15:18.000,,,,,1857.8337518729415
162,0.0,20190313T153619_20190313T153840_T18PVS,2019-03-13 15:40:13.541,100.07347869873047,0.0,0.0,0.0,
163,,,2019-03-17 10:48:43.000,,,,,868.0881557988185
164,,,2019-03-17 23:14:48.000,,,,,1355.5044922772577
165,0.0,20190318T153621_20190318T153616_T18PVS,2019-03-18 15:40:13.639,0.0,0.0,0.0,0.0,
166,0.0,20190323T153619_20190323T153619_T18PVS,2019-03-23 15:40:16.000,0.0,0.0,0.0,0.0,
167,,,2019-03-23 23:15:18.000,,,,,2043.0680908502318
168,0.0,20190328T153621_20190328T153618_T18PVS,2019-03-28 15:40:15.000,0.0,0.0,0.0,0.0,
169,,,2019-03-29 10:48:43.000,,,,,994.0632789163028
170,,,2019-03-29 23:14:48.000,,,,,1879.8107003305472
171,0.0,20190402T153619_20190402T153621_T18PVS,2019-04-02 15:40:19.000,0.0,0.0,0.0,0.0,
172,,,2019-04-04 23:15:18.000,,,,,2862.4927902820064
173,0.0,20190407T153621_20190407T153935_T18PVS,2019-04-07 15:40:17.000,100.07347869873047,0.0,0.0,0.0,
174,,,2019-04-10 10:48:44.000,,,,,562.3736418181775
175,,,2019-04-10 23:14:48.000,,,,,959.9203136967677
176,0.0,20190412T153629_20190412T153623_T18PVS,2019-04-12 15:40:21.000,100.07347869873047,0.0,0.0,0.0,
177,,,2019-04-16 23:15:19.000,,,,,1570.1718266805015
178,0.0,20190417T153621_20190417T153621_T18PVS,2019-04-17 15:40:19.000,200.14697265625,0.0,0.0,0.0,
179,,,2019-04-22 10:48:44.000,,,,,943.8300170300054
180,0.0,20190422T153629_20190422T153625_T18PVS,2019-04-22 15:40:22.000,0.0,0.0,0.0,0.0,
181,,,2019-04-22 23:14:49.000,,,,,1806.423838267607
182,0.0,20190427T153621_20190427T153622_T18PVS,2019-04-27 15:40:19.000,0.0,0.0,0.0,0.0,
183,,,2019-04-28 23:15:19.000,,,,,2264.0148889579023
184,0.0,20190502T153629_20190502T153626_T18PVS,2019-05-02 15:40:24.000,0.0,0.0,0.0,0.0,
185,,,2019-05-04 10:48:45.000,,,,,1202.843978881836
186,,,2019-05-04 23:14:49.000,,,,,999.5573247572954
