fecha,area_m2_vegetacion
2013-04-01,17112.557861328125
2013-05-04,16211.895263671875
2013-05-13,5403.962158203125
2013-06-05,17112.55712890625
2013-06-14,21615.86102294922
2013-07-23,16211.895812988281
2013-10-27,46834.36877441406
2013-11-21,20715.199951171875
2013-12-07,900.6600341796875
2013-12-23,15311.234375
2013-12-30,17112.55535888672
2014-01-08,1801.3231811523438
2014-01-15,20715.19891357422
2014-01-24,18913.87628173828
2014-01-31,25218.502685546875
2014-02-09,22516.521362304688
2014-02-25,20715.199951171875
2014-03-04,21615.859252929688
2014-03-13,23417.1826171875
2014-03-29,18913.87774658203
2014-06-17,18913.87451171875
2014-07-03,34225.115295410156
2014-07-19,26119.164428710938
2014-08-04,13509.908081054688
2014-09-05,31523.128662109375
2014-11-08,45933.70104980469
2014-11-15,30622.46435546875
2014-11-24,31523.128051757812
2014-12-01,27920.486389160156
2014-12-17,34225.11584472656
2014-12-26,22516.521545410156
2015-01-02,20715.19891357422
2015-01-11,18013.21661376953
2015-01-27,2701.98095703125
2015-02-03,18913.87713623047
2015-02-12,17112.55682373047
2015-02-19,17112.55841064453
2015-02-28,17112.554321289062
2015-03-07,15311.234802246094
2015-03-16,27019.8251953125
2015-03-23,23417.18280029297
2015-04-01,20715.20001220703
2015-04-24,46834.366760253906
2015-05-03,26119.164306640625
2015-06-04,21615.86151123047
2015-06-20,32423.791625976562
2015-06-27,32423.791625976562
2015-07-06,31523.13067626953
2015-08-07,22516.522033691406
2015-08-23,5403.965515136719
2015-08-30,27920.485961914062
2015-09-08,23417.18133544922
2015-09-15,0.0
2015-11-27,21615.859436035156
2015-12-20,22516.520080566406
2015-12-29,23417.18115234375
2016-01-05,25218.503295898438
2016-01-14,18913.878173828125
2016-01-21,19814.5380859375
2016-02-06,22516.52117919922
2016-02-15,24317.84344482422
2016-02-22,26119.165100097656
2016-03-02,31523.130798339844
2016-03-25,53138.989318847656
2016-04-26,9907.271728515625
2016-05-05,41430.39453125
2016-05-12,15311.238708496094
2016-05-21,31523.1357421875
2016-06-06,35125.77185058594
2016-06-22,30622.468139648438
2016-07-08,28821.147216796875
2016-07-24,27920.486206054688
2016-08-09,28821.146240234375
2016-09-17,45933.70300292969
2016-09-26,20715.199096679688
2016-11-04,51337.66522216797
2016-12-15,55840.97326660156
2016-12-22,54940.31170654297
2016-12-31,55840.972229003906
2017-01-16,47735.02783203125
2017-01-23,38728.41680908203
2017-02-01,37827.75646972656
2017-02-08,57642.29315185547
2017-02-17,13509.914855957031
2017-02-24,27920.48583984375
2017-03-05,31523.129821777344
2017-03-21,48635.68408203125
2017-03-28,3602.6411743164062
2017-04-06,61244.937072753906
2017-04-22,13509.908447265625
2017-05-31,29721.808715820312
2017-07-18,29721.80712890625
2017-07-27,35125.77197265625
2017-08-03,18913.879943847656
2017-10-31,25218.503051757812
2017-11-16,23417.18231201172
2017-12-18,25218.504028320312
