fecha,area_m2_vegetacion
2017-05-01,8421.864440618778
2017-06-01,6874.06163443771
2017-07-01,7009.978069260542
2017-08-01,4611.225924064287
2017-09-01,3542.4034785401586
2017-10-01,4326.573762791453
2017-11-01,3683.0952207228715
2017-12-01,3384.705538531534
2018-01-01,4106.542391219794
2018-02-01,1689.7368716869478
2018-03-01,1225.998016207826
2018-04-01,2596.1538271935156
2018-05-01,4496.2403685027475
2018-06-01,4047.9377036699284
2018-07-01,3810.050164226457
2018-08-01,2741.358159403084
2018-09-01,2519.2341980678584
2018-10-01,3375.0259549309226
2018-11-01,3436.3778092029047
2018-12-01,2412.554389893775
2019-01-01,3157.0875106811523
2019-02-01,3949.7600944070255
2019-03-01,896.8675144270355
2019-04-01,753.1018294240914
2019-05-01,2021.221763152079
2019-06-01,2402.1550187353996
2019-07-01,1381.2750157773883
2019-08-01,2200.04613756666
2019-09-01,3978.083123021344
2019-10-01,2207.1101049784743
2019-11-01,2140.7865737915035
2019-12-01,980.5890571344911
2020-01-01,2555.0122619928097
2020-02-01,2331.6453299728096
2020-03-01,2800.486497706993
2020-04-01,2277.3575276194056
2020-05-01,2558.544927963556
2020-06-01,4820.661349547143
2020-07-01,10354.655240915336
2020-08-01,9879.534719240277
2020-09-01,8420.489709487616
2020-10-01,3567.9767389235153
2020-11-01,2690.209371758754
2020-12-01,2891.9262003580725
2021-01-01,3159.180396629782
2021-02-01,2309.733300586775
2021-03-01,3068.2638254103317
2021-04-01,3428.004986183316
2021-05-01,5134.485300620086
2021-06-01,2529.503178360883
2021-07-01,2864.193374025432
2021-08-01,2204.166519643746
2021-09-01,2732.593833075629
2021-10-01,4439.336244186701
2021-11-01,2438.2598882039388
2021-12-01,4651.844128672282
2022-01-01,3031.3416689480055
2022-02-01,1410.8392092237286
2022-03-01,2654.4965116114395
2022-04-01,2059.158082849839
2022-05-01,3908.750462371228
2022-06-01,3468.035081272499
2022-07-01,2159.100903599558
2022-08-01,1488.9358320647596
2022-09-01,2331.5147237042197
2022-10-01,3519.0529174505496
2022-11-01,2725.659720018175
2022-12-01,2905.6610273473407
2023-01-01,1999.6375013762827
2023-02-01,2166.0995691486432
2023-03-01,1246.5357228098353
2023-04-01,1259.9446165197037
2023-05-01,2228.69413616704
2023-06-01,2832.274510930878
2023-07-01,2676.8661124285527
2023-08-01,2971.7233381084366
2023-09-01,2542.6499703201594
2023-10-01,4294.654322894726
2023-11-01,3592.8318665747547
2023-12-01,4436.848763419756
2024-01-01,1554.474015164843
2024-02-01,2357.9394170524247
2024-03-01,1716.3576938404756
2024-04-01,1418.1651286405674
2024-05-01,3792.1945071750215
2024-06-01,3745.68890135522
2024-07-01,3344.938214659847
2024-08-01,2567.374192211675
2024-09-01,2759.0180085724473
2024-10-01,2631.342304169898
2024-11-01,3494.3283772188074
2024-12-01,2209.6604867822984
2025-01-01,1730.2894504123262
2025-02-01,2097.2252395181094
2025-03-01,1820.0283987606272
2025-04-01,1399.3798480643477
2025-05-01,2101.3852730904373
2025-06-01,2518.39700213264
2025-07-01,2538.921764837527
2025-08-01,2872.3820986998317
2025-09-01,2535.1151012824566
2025-10-01,5456.2387963089295
2025-11-01,4056.570879359027
2025-12-01,3888.6571754664997
